legajo,actual,new,bultos,horas,dias,sectores,sector_principal,turnos,diff,diff_pct,bultos_hora,bultos_dia,pay_actual,nivel_actual,bultos_actuales,desde_actual,hasta_actual,pen_tnc,pen_error,eq_sector,eq_traslado,eq_cons,total_eq,pen_total,eq_per_hour,nivel_nuevo,premio_hora_nuevo,ritmo_nuevo,sectores_nuevo
198105,4811.52,34607.94,3870.0,44.0,7,1,B1,1,29796.420000000002,619.272496009577,87.95454545454545,552.8571428571429,4811.52,1.1428571428571428,552.8571428571429,802.8571428571429,1016.1428571428571,0.0,0.0,3902.31,655.475,24.787,4582.573,0.0,104.14938636363637,1.9466374269005848,958.5240606725147,191.288028874269,6
198106,26416.519999999997,32119.3,3339.0,27.0,4,1,B1,1,5702.7800000000025,21.58793058283227,123.66666666666667,834.75,26416.519999999997,2.5,834.75,1040.0,1221.75,0.0,0.0,3287.89,654.739,38.691,3981.318,0.0,147.45622222222224,2.2373737373737375,1070.5007050092765,104.94930003092145,7
198108,30173.72,23599.44,3335.0,30.0,6,4,BA,1,-6574.2800000000025,-21.78809904778066,111.16666666666667,555.8333333333334,30173.72,1.8333333333333333,555.8333333333334,835.0,17629.166666666668,0.0,0.0,3335.0,0.0,0.014,3335.014,0.0,111.16713333333334,1.6113167534220165,1022.6675368121157,155.5014222977315,9
198633,297189.09,219222.73,19596.0,155.0,22,3,B1,1,-77966.36000000002,-26.234596969895502,126.4258064516129,890.7272727272727,297189.09,3.4545454545454546,898.9545454545455,1184.7272727272727,19278.227272727272,126.59,0.0,19453.23,4413.902,486.045,24353.178,126.59,157.11727741935485,2.2903846387039666,1021.0481941261354,101.41846079280197,8
198634,0.0,24255.32,2950.0,42.0,8,3,B1,1,24255.32,,70.23809523809524,368.75,0.0,1.0,421.42857142857144,770.0,999.0,27.39,0.0,2932.73,603.97,88.867,3625.567,27.39,86.3230238095238,1.6535714285714285,515.2290133928572,54.585379464285715,8
198635,501583.58,309843.35,29465.0,196.0,26,3,B1,1,-191740.23000000004,-38.22697505368897,150.33163265306123,1133.2692307692307,501583.58,5.0,1133.2692307692307,1453.0384615384614,35702.61538461538,62.38,0.0,29478.48,5916.5779999999995,473.954,35869.017,62.38,183.0051887755102,2.3919068200078994,1239.2379607509301,151.7048305890786,8
198671,29185.73,26811.81,4069.0,40.0,6,3,F1,1,-2373.9199999999983,-8.133838009191473,101.725,678.1666666666666,29185.73,1.3333333333333333,678.1666666666666,756.6666666666666,17559.166666666668,0.0,0.0,4069.0,0.0,0.011,4069.011,0.0,101.725275,1.532322615655949,978.1000690091801,166.67411074481075,9
198673,324799.84,126710.25,16878.0,166.0,22,12,AM,1,-198089.59000000003,-60.98820430453414,101.67469879518072,767.1818181818181,324799.84,3.6818181818181817,767.1818181818181,1242.4545454545455,19328.636363636364,69.98,0.0,20581.067,5315.14,94.31,25990.516,69.98,156.5693734939759,1.8909503529611693,787.5765962136619,106.78809792102061,18
198872,0.0,0.0,0.0,1.0,1,1,PE,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,1
198873,624525.35,404653.62,32586.0,204.0,26,4,B1,1,-219871.72999999998,-35.2062138070136,159.73529411764707,1253.3076923076924,624525.35,5.423076923076923,1253.3076923076924,1518.2307692307693,16909.80769230769,63.9,0.0,32396.47,5979.317,347.605,38723.398,63.9,189.82057843137255,2.6527020779397037,1381.255761713724,121.93427754619603,8
198874,45601.54,43404.88,5011.0,46.0,7,5,F1,1,-2196.6600000000035,-4.817074160214772,108.93478260869566,715.8571428571429,45601.54,2.2857142857142856,715.8571428571429,934.2857142857143,15353.714285714286,0.0,0.0,5011.0,0.0,0.0,5011.0,0.0,108.93478260869566,1.691887134289095,941.4310315028109,129.3342217760181,10
198876,46604.2,36036.11,5672.0,49.0,7,5,BA,1,-10568.089999999997,-22.676260937855382,115.75510204081633,810.2857142857143,46604.2,2.0,810.2857142857143,968.5714285714286,1127.5714285714287,0.0,0.0,5672.0,0.0,0.0,5672.0,0.0,115.75510204081633,1.7682278725956886,1014.6248924073799,185.76932298540964,9
199091,0.0,9540.98,1296.0,16.0,3,1,B1,1,9540.98,,81.0,432.0,0.0,1.0,432.0,770.0,999.0,0.0,21.29,1259.5900000000001,450.763,53.804,1764.158,21.29,110.259875,1.7142857142857142,602.0940178571428,58.161139880952376,7
199093,130803.26,172061.19,17188.0,168.0,24,6,B1,1,41257.93000000001,31.54197380095879,102.30952380952381,716.1666666666666,130803.26000000001,1.9583333333333333,716.1666666666666,938.3333333333334,1144.5416666666667,3538.81,184.29,16996.44,3588.431,274.457,20859.332000000002,3723.1,124.16269047619049,1.8439148650913357,720.8047692232449,93.23452199279711,14
199094,78388.27,65192.2,10362.0,139.0,19,11,VA,1,-13196.070000000007,-16.83424063319679,74.54676258992805,545.3684210526316,78388.27,2.1578947368421053,545.3684210526316,969.0,6357.631578947368,1095.42,100.92,12632.056,3572.618,47.761,16252.43,1196.3400000000001,116.92395683453238,1.8105871084870582,826.128405046215,97.15548733664254,18
199095,245819.14,83975.62,10609.0,119.0,15,8,AM,1,-161843.52000000002,-65.83845342555506,89.15126050420169,707.2666666666667,245819.14,3.933333333333333,707.2666666666667,1274.8666666666666,21166.666666666668,0.0,0.0,13656.217,3809.707,62.873999999999995,17528.797,0.0,147.3008151260504,1.6631462914623214,641.8540555123793,97.73076079312432,14
199408,307729.79,266100.89,24744.0,188.0,26,4,B1,1,-41628.899999999965,-13.52774458397413,131.61702127659575,951.6923076923077,307729.79,3.3846153846153846,951.6923076923077,1189.076923076923,24072.73076923077,1150.19,0.0,24370.99,4515.29,382.671,29268.953999999998,1150.19,155.68592553191488,2.095942265795207,1112.1900556100218,151.6945863671024,12
203576,120764.97,107380.27,14250.0,133.0,19,6,BA,1,-13384.699999999997,-11.083263631829658,107.14285714285714,750.0,120764.97,2.0526315789473686,750.0,917.8947368421053,11578.684210526315,0.0,0.0,14250.0,0.0,0.0,14250.0,0.0,107.14285714285714,1.4460235096223686,902.004030380938,475.37946238066576,9
203612,197359.65,197801.21,18515.0,156.0,22,4,B1,1,441.5599999999977,0.22373367605789618,118.68589743589743,841.5909090909091,197359.65,2.909090909090909,841.5909090909091,1105.6363636363637,19179.090909090908,1040.64,0.0,18091.88,3895.666,436.471,22424.023,1040.64,143.7437371794872,2.28099337201038,1278.30359718487,273.7161645008014,7
203619,191031.69,125283.84,16064.0,169.0,22,9,N1,1,-65747.85,-34.41724773517944,95.05325443786982,730.1818181818181,191031.69,3.142857142857143,764.952380952381,1151.5714285714287,15383.142857142857,0.0,0.0,18949.129,4208.242,77.984,23235.357,0.0,137.48731952662723,1.9243446156296333,851.2562650515533,108.98621893112278,18
203637,913667.94,465140.39,39136.0,223.0,28,5,B1,1,-448527.54999999993,-49.090871022573026,175.49775784753362,1397.7142857142858,913667.9400000001,6.178571428571429,1408.892857142857,1667.25,12543.32142857143,0.0,0.0,39309.621,6703.849,550.732,46564.202,0.0,208.80808071748876,2.5660134515202273,1529.1111210509912,167.72674120641324,7
203640,26392.7,24523.8,1426.0,12.0,2,1,B1,1,-1868.9000000000015,-7.081124704937356,118.83333333333333,713.0,26392.7,2.5,713.0,1020.0,1249.5,0.61,0.0,1451.73,126.548,2.418,1580.696,0.61,131.72466666666665,2.8863636363636362,1775.2329545454545,836.8637613636364,4
203679,702397.08,434441.8,35004.0,216.0,28,4,B1,1,-267955.27999999997,-38.14868934250125,162.05555555555554,1250.142857142857,702397.08,5.428571428571429,1254.2857142857142,1517.0,22837.035714285714,0.0,0.0,34713.640999999996,6407.473,426.8,41547.916,0.0,192.35146296296296,2.5840552477357663,1528.083998012087,229.36369140179417,7
203690,178391.54,159499.72,18858.0,161.0,24,7,F1,1,-18891.820000000007,-10.590087399884549,117.1304347826087,785.75,178391.54,2.4347826086956523,819.9130434782609,992.6086956521739,9826.260869565218,0.0,0.0,18858.0,0.0,0.109,18858.109,0.0,117.13111180124224,1.6628433704036196,930.3186864279581,174.0277868898017,10
206099,205652.67,183282.66999999998,15724.0,131.0,19,5,B1,1,-22370.00000000003,-10.877563612473413,120.03053435114504,827.578947368421,205652.67,3.5789473684210527,832.1052631578947,1221.2105263157894,16946.157894736843,0.0,0.0,15677.76,3197.9,271.436,19147.096,0.0,146.16103816793895,2.276465849497694,1079.5754010424344,132.91181423498028,8
206101,400655.78,108720.33,18969.0,188.0,24,9,PI,1,-291935.45,-72.86440495130259,100.89893617021276,790.375,400655.78,4.625,790.375,1383.2083333333333,30274.208333333332,0.0,0.0,24606.39,5686.23,125.141,30417.76,0.0,161.79659574468084,1.8798955196373675,813.3878477202146,110.24913839569247,16
206105,409464.29,286060.23,27622.0,209.0,26,5,B1,1,-123404.06,-30.1379297325293,132.16267942583733,1062.3846153846155,409464.29,4.153846153846154,1062.3846153846155,1323.8076923076924,35549.230769230766,54.77,0.0,27380.11,4961.181,380.85699999999997,32722.148,54.77,156.5653014354067,2.145056072119145,909.0348454979646,204.45979655093757,8
206118,208856.87,98639.57,14495.0,166.0,21,10,NS,1,-110217.29999999999,-52.771690009526615,87.31927710843374,690.2380952380952,208856.87,2.857142857142857,690.2380952380952,1101.5238095238096,10646.238095238095,18.41,0.0,17730.037,4705.149,87.056,22522.239,18.41,135.67613855421686,1.805941874323098,798.0737150572704,154.1003899731869,17
206120,230440.49,117495.09,15100.0,188.0,23,10,PI,1,-112945.4,-49.012827563419954,80.31914893617021,656.5217391304348,230440.49,3.260869565217391,656.5217391304348,1161.4782608695652,18460.521739130436,96.15,0.0,19493.226,5180.225,94.308,24767.758,96.15,131.7433936170213,2.2933923526955957,1288.7295866701625,123.36665952299234,16
206121,114899.56999999999,95084.6,12585.0,107.0,15,6,BA,1,-19814.969999999987,-17.245469238918812,117.61682242990655,839.0,114899.56999999999,2.6,839.0,1027.3333333333333,7837.266666666666,0.0,0.0,12585.0,0.0,0.0,12585.0,0.0,117.61682242990655,1.4325801553498902,816.6417143693525,128.09485706199618,9
206122,683891.92,407700.65,34962.0,221.0,28,4,B1,1,-276191.27,-40.38522198068958,158.19909502262445,1248.642857142857,683891.92,5.392857142857143,1251.107142857143,1516.357142857143,29850.14285714286,9.43,0.0,35015.67,5895.916,498.136,41409.717,9.43,187.3742850678733,2.234077484659648,1196.9668370355662,142.44537727551045,9
206130,134559.57,127057.47,17757.0,164.0,23,8,F1,1,-7502.100000000006,-5.57530021833453,108.27439024390245,772.0434782608696,134559.57,1.9565217391304348,772.0434782608696,832.1739130434783,22680.608695652172,0.0,0.0,17757.0,0.0,0.0,17757.0,0.0,108.27439024390245,1.4403284379897283,914.0919387531226,147.9456077342162,9
206145,468623.65,145944.15,19891.0,198.0,25,11,AM,1,-322679.5,-68.85685346866296,100.45959595959596,795.64,468623.65,4.52,795.64,1363.4,21250.76,0.0,0.0,25156.013,7143.258,201.911,32501.186,0.0,164.14740404040404,1.88935123822808,850.025584425849,110.49552285787938,18
206147,543279.04,371936.16,30984.0,199.0,25,2,B1,1,-171342.88000000006,-31.538650929732174,155.69849246231155,1239.36,543279.04,4.92,1243.0,1451.64,44943.92,0.0,1441.81,30825.7,5138.429,424.382,36388.515,1441.81,182.8568592964824,2.4321886741178793,1400.644943189438,275.4605610031876,7
206264,242399.19,177761.57,21638.0,163.0,23,8,F1,1,-64637.619999999995,-26.665773924409564,132.74846625766872,940.7826086956521,242399.19,2.8260869565217392,940.7826086956521,1014.3478260869565,14218.304347826086,0.0,0.0,21638.0,0.0,0.016,21638.016,0.0,132.7485644171779,1.8280356532070536,1135.487567216012,192.71304125909296,9
206265,121166.69,96221.78,14210.0,118.0,17,6,F1,1,-24944.910000000003,-20.58726701208063,120.42372881355932,835.8823529411765,121166.69,2.3529411764705883,835.8823529411765,958.2352941176471,12854.588235294117,0.0,0.0,14210.0,0.0,0.218,14210.218,0.0,120.42557627118644,1.6316897612967243,912.0533640590135,138.52522178274427,9
206693,540397.74,154065.87,20622.0,205.0,25,10,AM,1,-386331.87,-71.49028232427472,100.59512195121951,824.88,540397.74,4.8,824.88,1441.84,65202.4,1112.6100000000001,0.0,26922.303,7406.942,198.28799999999998,34527.534999999996,1112.6100000000001,168.427,2.012001258532233,1016.587801108492,253.30071670907788,18
206694,685684.49,394770.63,34828.0,226.0,28,4,B1,1,-290913.86,-42.42678144870974,154.10619469026548,1243.857142857143,685684.49,5.321428571428571,1253.2857142857142,1506.75,33355.17857142857,63.900000000000006,0.0,34779.18,6507.826,623.276,41910.28,63.900000000000006,185.44371681415927,2.417687373881635,1356.3830420157312,181.58251479418928,7
