legajo,actual,nuevo_base,nuevo_ajustado,bultos,horas,dias,sector,diff_base,pct_base,diff_aj,pct_aj,bph,grupo,equiv
207009,498047.87,356713.08999999997,384880.43,32320.0,215.0,28,B1,-141334.78000000003,-28.377750114662682,-113167.44,-22.72220138196756,150.32558139534885,SECOS + NOA,1.0
207010,423352.98000000004,350192.0,384737.95999999996,29395.0,201.0,25,B1,-73160.98000000004,-17.28131924334158,-38615.02000000008,-9.121234956229687,146.24378109452735,SECOS + NOA,1.0
207015,144505.97,115066.08,115066.08,17048.0,154.0,23,F1,-29439.89,-20.37278459844946,-29439.89,-20.37278459844946,110.7012987012987,OTRAS CAMARAS,1.0
207033,770964.69,424509.19,451710.01,35304.0,229.0,28,B1,-346455.49999999994,-44.93792056806129,-319254.67999999993,-41.40976676895539,154.16593886462883,SECOS + NOA,1.0
207036,577107.92,389211.08,432657.6,30810.0,217.0,26,B1,-187896.84000000003,-32.558354076998285,-144450.32000000007,-25.030035976633286,141.9815668202765,SECOS + NOA,1.0
207038,241711.13,175149.56,194740.88,19511.0,149.0,21,CO,-66561.57,-27.537652072537995,-46970.25,-19.432390225472858,130.94630872483222,CAMARA 06,1.0
207041,650158.77,432368.37,472965.03,33513.0,209.0,27,B1,-217790.40000000002,-33.49803310351408,-177193.74,-27.25391830060217,160.34928229665073,SECOS + NOA,1.0
207056,299145.03,209557.78,232174.72,22227.0,165.0,23,B1,-89587.25000000003,-29.947764801574685,-66970.31000000003,-22.387238056403618,134.70909090909092,SECOS + NOA,1.0
207397,560469.45,136025.97,158257.87,20751.0,206.0,24,VA,-424443.48,-75.72999384712227,-402211.57999999996,-71.76333696689444,100.73300970873787,SECOS + NOA,1.43
207399,350670.81,315160.76,345653.12,27199.0,199.0,26,B1,-35510.04999999999,-10.126320465624152,-5017.690000000002,-1.4308832833847798,136.678391959799,SECOS + NOA,1.0
207402,267738.21,181770.38,195470.66,23228.0,174.0,24,F1,-85967.83000000002,-32.1089134046276,-72267.55000000002,-26.991870155552327,133.49425287356323,OTRAS CAMARAS,1.0
207420,332461.93,194236.39,214640.43,26444.0,185.0,25,BA,-138225.53999999998,-41.576351313366914,-117821.5,-35.43909523715993,142.94054054054055,OTRAS CAMARAS,1.0
207425,214311.57,131204.49,160880.75,15468.0,186.0,23,AM,-83107.08000000002,-38.77862497111099,-53430.82000000001,-24.931374447025892,83.16129032258064,SECOS + NOA,1.1
