mes,almacen,legajo,dias_participa,dias_con_escala_paga,bultos_turno_mes,bultos_prom_dia,nivel_maximo_dia,puntos_escala_mes,bono_estimado,dias_nivel_0,dias_nivel_1,dias_nivel_2,dias_nivel_3,dias_nivel_4,dias_nivel_5_mas
2026-06,SECOS + NOA,203679,20,18,30138.59,1506.93,5,388944.0,74670.0,2,0,1,1,5,11
2026-06,SECOS + NOA,207657,22,18,31951.52,1452.34,5,388000.0,74489.0,4,0,0,2,6,10
2026-06,SECOS + NOA,206696,21,18,30595.44,1456.93,6,387576.0,74407.0,3,1,1,2,5,9
2026-06,SECOS + NOA,735102,19,17,28460.57,1497.92,6,372640.0,71540.0,2,2,1,1,1,12
2026-06,SECOS + NOA,206105,23,21,32429.82,1409.99,6,367576.0,70568.0,2,1,5,2,5,8
2026-06,SECOS + NOA,198635,20,16,29334.53,1466.73,6,366568.0,70374.0,4,0,1,1,4,10
2026-06,SECOS + NOA,734236,18,14,27922.74,1551.26,6,365064.0,70085.0,4,0,0,2,1,11
2026-06,SECOS + NOA,206788,23,21,31789.53,1382.15,6,364744.0,70024.0,2,1,4,4,6,6
2026-06,SECOS + NOA,198633,17,15,24818.23,1459.9,6,359016.0,68924.0,2,0,3,0,1,11
2026-06,SECOS + NOA,734438,17,17,26625.83,1566.23,5,356312.0,68405.0,0,0,1,1,6,9
2026-06,SECOS + NOA,207010,23,22,31801.58,1382.68,5,345008.0,66235.0,1,0,3,5,13,1
2026-06,SECOS + NOA,734005,18,17,26642.38,1480.13,5,335672.0,64443.0,1,0,0,3,8,6
2026-06,SECOS + NOA,733505,17,17,25827.09,1519.24,6,333784.0,64080.0,0,0,0,4,8,5
2026-06,SECOS + NOA,733818,13,13,21593.49,1661.04,6,327048.0,62787.0,0,0,0,1,3,9
2026-06,SECOS + NOA,206768,23,21,31027.74,1349.03,5,325208.0,62434.0,2,2,3,3,10,3
2026-06,SECOS + NOA,734932,18,17,26370.21,1465.01,5,305440.0,58639.0,1,0,2,3,7,5
2026-06,SECOS + NOA,735027,19,17,27966.01,1471.9,5,304496.0,58457.0,2,0,1,4,8,4
2026-06,SECOS + NOA,733816,20,20,28271.52,1413.58,5,303680.0,58301.0,0,0,3,6,10,1
2026-06,SECOS + NOA,207680,20,18,28595.44,1429.77,5,302976.0,58166.0,2,1,2,3,8,4
2026-06,SECOS + NOA,734929,20,18,27005.49,1350.27,5,297736.0,57160.0,2,0,1,6,9,2
2026-06,SECOS + NOA,207686,24,20,30140.2,1255.84,6,296672.0,56955.0,4,0,4,10,3,3
